Article Number,Quantity,Article Name,Size,Width,ColorVariant Article Number,Price,Short Color,Medium Color,Long Color,Brand,UPC,EAN,Description,Product Type,Season Introduced,Product Collection,Upper Material,Sole Material,Lining Material,Heel Height,Leg Width,Trim,Fastening,Removable Footbed,Technology,Sock Material,Mid Sole Material,Boot Shaft Height,Boot Shaft Circumference,MSRP,
261555444030,1,Wallabee. Beeswax, M; 3,5½,M,26155544,$75.00,Brown,728,Beeswax,2,889309605297,5059304193302,,,F20,5,Leather,Crepe,Sheepskin,30,99,99,Lace,,98,Sheepskin,EVA,0,0,150.0, 
261555444040,1,Wallabee. Beeswax, M; 4,6½,M,26155544,$75.00,Brown,728,Beeswax,2,889309605310,5059304193326,,,F20,5,Leather,Crepe,Sheepskin,30,99,99,Lace,,98,Sheepskin,EVA,0,0,150.0, 
261555444070,1,Wallabee. Beeswax, M; 7,9½,M,26155544,$75.00,Brown,728,Beeswax,2,889309605372,5059304193388,,,F20,5,Leather,Crepe,Sheepskin,30,99,99,Lace,,98,Sheepskin,EVA,0,0,150.0, 
261555444075,1,Wallabee. Beeswax, M; 7+,10,M,26155544,$75.00,Brown,728,Beeswax,2,889309605389,5059304193395,,,F20,5,Leather,Crepe,Sheepskin,30,99,99,Lace,,98,Sheepskin,EVA,0,0,150.0, 
261555444080,1,Wallabee. Beeswax, M; 8,10½,M,26155544,$75.00,Brown,728,Beeswax,2,889309605396,5059304193401,,,F20,5,Leather,Crepe,Sheepskin,30,99,99,Lace,,98,Sheepskin,EVA,0,0,150.0, 
